league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
T20 Blast,0,155,2,37,1,6.17,4,1,16,13.9,44.4,9,86,6
T20 Blast,2,149,1,29,4,4.83,4,1,18,13.9,50.0,6,75,6
T20I,1,147,2,59,1,9.83,5,1,19,16.7,52.8,9,163,5
T20 Blast,1,159,1,38,3,6.33,5,1,17,16.7,47.2,7,111,5
SA20,0,172,2,45,2,7.5,3,2,19,13.9,52.8,8,108,7
SA20,1,153,1,34,3,5.67,2,0,15,5.6,41.7,7,98,9
Super Smash,0,162,2,31,3,5.17,3,1,20,11.1,55.6,7,71,7
CPL,1,157,1,48,1,8.0,6,3,18,25.0,50.0,9,141,4
Super Smash,2,163,2,57,2,9.5,8,3,16,30.6,44.4,8,177,8
LPL,2,157,1,48,2,8.0,4,3,15,19.4,41.7,8,137,4
CPL,2,158,2,38,1,6.33,5,0,20,13.9,55.6,9,113,6
BPL,2,152,1,53,3,8.83,6,3,21,25.0,58.3,7,167,5
CPL,1,153,2,34,3,5.67,4,0,18,11.1,50.0,7,105,5
Super Smash,0,174,1,45,4,7.5,5,1,21,16.7,58.3,6,116,8
BBL,2,143,2,39,3,6.5,3,0,18,8.3,50.0,7,108,5
Super Smash,2,140,1,38,3,6.33,4,1,17,13.9,47.2,7,101,5
ILT20,2,149,2,44,3,7.33,5,2,15,19.4,41.7,7,132,6
PSL,1,176,1,25,5,4.17,3,0,11,8.3,30.6,5,57,8
T20 World Cup,0,154,2,49,0,8.17,5,3,19,22.2,52.8,10,124,3
BBL,1,162,1,52,2,8.67,6,2,18,22.2,50.0,8,170,5
T20 Blast,1,151,2,51,1,8.5,7,1,20,22.2,55.6,9,137,3
CPL,2,153,1,69,0,11.5,6,4,21,27.8,58.3,10,220,5
MLC,1,140,2,64,1,10.67,5,2,19,19.4,52.8,9,186,7
T20 World Cup,1,181,1,31,4,5.17,3,1,18,11.1,50.0,6,70,10
SA20,0,146,2,64,1,10.67,5,0,19,13.9,52.8,9,179,5
T20 World Cup,2,169,1,66,0,11.0,5,4,18,25.0,50.0,10,229,6
SA20,2,142,2,45,1,7.5,3,2,20,13.9,55.6,9,139,7
CPL,0,161,1,38,2,6.33,4,2,19,16.7,52.8,8,94,6
T20I,1,167,2,34,2,5.67,4,0,21,11.1,58.3,8,102,8
T20 Blast,1,180,1,46,2,7.67,5,0,21,13.9,58.3,8,103,7
ILT20,1,164,2,53,2,8.83,4,3,20,19.4,55.6,8,168,7
LPL,2,159,1,49,2,8.17,7,3,19,27.8,52.8,8,138,8
CPL,0,152,2,14,5,2.33,2,0,20,5.6,55.6,5,29,8
IPL,1,177,1,48,3,8.0,4,0,16,11.1,44.4,7,152,7
MLC,0,158,2,45,3,7.5,5,2,13,19.4,36.1,7,109,5
Super Smash,0,145,1,35,4,5.83,5,0,17,13.9,47.2,6,88,6
CPL,2,147,2,37,4,6.17,3,1,18,11.1,50.0,6,89,9
T20 World Cup,2,139,1,40,4,6.67,3,0,15,8.3,41.7,6,113,6
LPL,0,178,2,37,2,6.17,4,0,14,11.1,38.9,8,89,7
PSL,1,145,1,46,2,7.67,4,0,17,11.1,47.2,8,156,5
CPL,0,163,2,35,4,5.83,2,0,15,5.6,41.7,6,89,7
IPL,0,170,1,46,2,7.67,3,2,20,13.9,55.6,8,139,4
Super Smash,1,154,2,55,1,9.17,5,2,17,19.4,47.2,9,157,5
CPL,0,150,1,44,2,7.33,5,0,19,13.9,52.8,8,100,4
PSL,1,167,2,51,2,8.5,7,2,21,25.0,58.3,8,155,5
CPL,2,169,1,62,2,10.33,7,2,16,25.0,44.4,8,181,4
IPL,1,165,2,43,5,7.17,3,0,15,8.3,41.7,5,122,10
T20I,1,149,1,56,1,9.33,4,2,19,16.7,52.8,9,171,6
LPL,1,153,2,57,1,9.5,8,3,17,30.6,47.2,9,161,5
LPL,0,177,1,36,2,6.0,5,2,18,19.4,50.0,8,102,5
MLC,0,167,2,53,1,8.83,4,1,18,13.9,50.0,9,148,5
CPL,1,165,1,23,5,3.83,2,1,9,8.3,25.0,5,64,9
MLC,0,172,2,43,0,7.17,3,2,19,13.9,52.8,10,115,2
BBL,2,148,1,38,4,6.33,5,1,15,16.7,41.7,6,102,9
Super Smash,2,146,2,47,2,7.83,6,0,16,16.7,44.4,8,131,5
MLC,2,173,1,34,5,5.67,2,2,16,11.1,44.4,5,97,10
T20I,1,151,2,49,1,8.17,6,2,20,22.2,55.6,9,158,5
BBL,1,143,1,49,2,8.17,7,0,14,19.4,38.9,8,140,4
SA20,1,168,2,47,3,7.83,4,2,22,16.7,61.1,7,137,6
MLC,1,181,1,33,4,5.5,4,2,19,16.7,52.8,6,85,10
IPL,1,156,2,55,1,9.17,5,0,17,13.9,47.2,9,175,4
LPL,2,170,1,41,3,6.83,5,2,12,19.4,33.3,7,119,8
T20 World Cup,2,154,2,55,2,9.17,5,2,16,19.4,44.4,8,169,5
BPL,1,142,1,31,5,5.17,3,1,18,11.1,50.0,5,70,10
PSL,0,153,2,52,2,8.67,6,2,14,22.2,38.9,8,132,6
Super Smash,1,153,1,54,1,9.0,4,3,21,19.4,58.3,9,167,4
BBL,1,181,2,45,2,7.5,6,1,17,19.4,47.2,8,139,4
ILT20,1,157,1,49,2,8.17,5,2,18,19.4,50.0,8,147,4
T20I,1,154,2,36,4,6.0,3,2,10,13.9,27.8,6,92,6
IPL,2,146,1,26,6,4.33,3,0,7,8.3,19.4,4,71,10
T20I,1,178,2,50,2,8.33,5,1,14,16.7,38.9,8,145,6
T20I,2,163,1,49,2,8.17,4,2,20,16.7,55.6,8,138,7
LPL,2,170,2,53,3,8.83,6,2,17,22.2,47.2,7,145,8
T20I,1,159,1,66,2,11.0,8,2,20,27.8,55.6,8,209,7
IPL,1,176,2,47,2,7.83,3,2,15,13.9,41.7,8,143,4
BBL,1,163,1,45,3,7.5,6,2,13,22.2,36.1,7,114,8
PSL,2,147,2,64,0,10.67,6,3,22,25.0,61.1,10,208,3
T20 Blast,1,142,1,43,1,7.17,3,1,18,11.1,50.0,9,117,4
Super Smash,2,159,2,45,2,7.5,5,0,14,13.9,38.9,8,138,7
IPL,1,151,1,51,3,8.5,7,2,14,25.0,38.9,7,164,9
LPL,1,139,2,41,2,6.83,3,0,22,8.3,61.1,8,109,4
SA20,1,143,1,48,2,8.0,4,3,21,19.4,58.3,8,135,7
T20 World Cup,2,143,2,21,6,3.5,3,0,22,8.3,61.1,4,55,9
CPL,1,138,1,20,6,3.33,1,1,6,5.6,16.7,4,51,10
CPL,1,144,2,40,4,6.67,3,2,20,13.9,55.6,6,97,10
CPL,0,139,1,9,6,1.5,0,0,13,0.0,36.1,4,44,10
LPL,2,178,2,18,4,3.0,2,1,21,8.3,58.3,6,55,8
T20I,1,160,1,31,3,5.17,3,0,22,8.3,61.1,7,84,7
MLC,1,157,2,23,6,3.83,3,0,7,8.3,19.4,4,60,10
LPL,1,156,1,45,3,7.5,6,1,16,19.4,44.4,7,120,9
T20 Blast,1,152,2,50,3,8.33,5,3,21,22.2,58.3,7,120,6
T20I,2,158,1,51,1,8.5,4,1,16,13.9,44.4,9,152,5
LPL,1,180,2,35,4,5.83,2,1,19,8.3,52.8,6,92,9
MLC,1,153,1,40,0,6.67,3,2,22,13.9,61.1,10,129,4
CPL,0,141,2,36,5,6.0,3,1,18,11.1,50.0,5,74,7
SA20,0,158,1,52,2,8.67,4,3,20,19.4,55.6,8,140,6
ILT20,1,180,2,57,1,9.5,4,0,21,11.1,58.3,9,179,3
PSL,2,157,1,60,2,10.0,7,3,19,27.8,52.8,8,172,6
PSL,2,164,2,52,3,8.67,5,1,18,16.7,50.0,7,152,7
Super Smash,1,149,1,31,5,5.17,2,0,15,5.6,41.7,5,72,8
SA20,1,162,2,21,5,3.5,3,0,22,8.3,61.1,5,45,9
BPL,1,161,1,51,0,8.5,7,2,20,25.0,55.6,10,160,5
CPL,0,155,2,46,0,7.67,4,1,20,13.9,55.6,10,119,3
SA20,0,151,1,40,2,6.67,4,0,15,11.1,41.7,8,96,8
BBL,1,139,2,50,2,8.33,6,0,17,16.7,47.2,8,149,4
BBL,1,167,1,54,2,9.0,5,0,17,13.9,47.2,8,167,7
BPL,0,149,2,49,1,8.17,4,0,19,11.1,52.8,9,142,6
T20I,1,158,1,65,1,10.83,7,1,16,22.2,44.4,9,200,6
LPL,0,179,2,46,1,7.67,4,2,20,16.7,55.6,9,117,6
T20 World Cup,1,175,1,60,2,10.0,6,0,21,16.7,58.3,8,170,6
T20I,2,138,2,61,1,10.17,6,2,19,22.2,52.8,9,197,5
T20 Blast,1,166,1,45,4,7.5,6,0,17,16.7,47.2,6,115,6
SA20,1,163,2,36,4,6.0,5,0,21,13.9,58.3,6,85,10
BPL,1,140,1,55,1,9.17,7,1,18,22.2,50.0,9,163,7
CPL,1,170,2,51,1,8.5,7,1,20,22.2,55.6,9,149,7
T20I,0,143,1,26,6,4.33,2,0,6,5.6,16.7,4,41,10
PSL,1,167,2,36,3,6.0,5,1,14,16.7,38.9,7,118,8
BBL,1,161,1,42,3,7.0,5,1,17,16.7,47.2,7,110,6
CPL,0,175,2,44,3,7.33,6,2,17,22.2,47.2,7,93,6
T20I,1,138,1,59,1,9.83,6,3,20,25.0,55.6,9,168,3
SA20,1,177,2,47,2,7.83,6,2,15,22.2,41.7,8,134,8
CPL,0,168,1,53,1,8.83,5,2,21,19.4,58.3,9,152,4
Super Smash,1,180,2,53,1,8.83,4,2,20,16.7,55.6,9,150,7
MLC,1,161,1,46,2,7.67,4,1,22,13.9,61.1,8,114,7
T20 World Cup,1,165,2,48,2,8.0,5,2,22,19.4,61.1,8,144,8
T20 Blast,1,157,1,41,4,6.83,3,0,22,8.3,61.1,6,94,7
PSL,2,156,2,55,3,9.17,6,1,14,19.4,38.9,7,142,6
T20I,2,151,1,38,4,6.33,3,2,10,13.9,27.8,6,101,9
PSL,1,138,2,51,2,8.5,5,1,15,16.7,41.7,8,156,5
