league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_extras,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
BPL,1,177,2,48,3,8.0,6,3,17,5,25.0,47.2,7,135,6
IPL,0,171,1,64,0,10.67,7,1,21,2,22.2,58.3,10,186,6
SA20,0,175,2,29,5,4.83,4,0,20,4,11.1,55.6,5,68,7
BPL,0,153,1,27,3,4.5,3,0,19,0,8.3,52.8,7,62,5
T20 Blast,0,143,2,27,5,4.5,2,1,22,0,8.3,61.1,5,49,10
BBL,2,146,1,48,1,8.0,5,3,17,3,22.2,47.2,9,146,6
T20 World Cup,2,168,2,60,1,10.0,6,2,17,3,22.2,47.2,9,190,3
LPL,2,178,1,44,2,7.33,4,0,14,5,11.1,38.9,8,129,7
BBL,0,155,2,43,2,7.17,3,1,20,4,11.1,55.6,8,110,6
BBL,0,174,1,11,6,1.83,1,1,11,1,5.6,30.6,4,33,8
ILT20,1,155,2,42,5,7.0,5,1,10,6,16.7,27.8,5,115,7
SA20,1,165,1,56,1,9.33,6,1,18,2,19.4,50.0,9,174,6
Super Smash,1,177,2,32,3,5.33,2,0,19,6,5.6,52.8,7,80,7
SA20,1,165,1,64,0,10.67,9,3,20,0,33.3,55.6,10,221,3
MLC,0,149,2,45,1,7.5,5,0,20,6,13.9,55.6,9,132,3
ILT20,1,177,1,45,3,7.5,4,0,15,2,11.1,41.7,7,125,8
T20I,1,171,2,42,4,7.0,4,0,11,0,11.1,30.6,6,104,10
T20 Blast,0,157,1,32,5,5.33,4,0,20,6,11.1,55.6,5,80,9
SA20,1,162,2,48,1,8.0,6,3,18,2,25.0,50.0,9,154,5
CPL,2,165,1,24,5,4.0,2,1,9,1,8.3,25.0,5,55,10
T20 Blast,0,143,2,40,0,6.67,5,0,19,0,13.9,52.8,10,96,3
T20I,1,177,1,37,4,6.17,5,1,14,4,16.7,38.9,6,100,10
Super Smash,2,161,2,57,1,9.5,7,2,17,3,25.0,47.2,9,169,3
Super Smash,1,170,1,47,3,7.83,5,2,20,2,19.4,55.6,7,113,8
BBL,2,164,2,55,3,9.17,5,0,13,6,13.9,36.1,7,183,6
PSL,1,144,1,57,1,9.5,4,2,19,1,16.7,52.8,9,176,6
T20 World Cup,1,181,2,60,1,10.0,8,3,22,5,30.6,61.1,9,175,6
T20I,1,166,1,56,0,9.33,4,3,18,3,19.4,50.0,10,188,3
BPL,0,178,2,40,4,6.67,5,2,19,1,19.4,52.8,6,96,9
T20 World Cup,0,171,1,39,2,6.5,4,1,18,3,13.9,50.0,8,105,5
SA20,1,156,2,34,3,5.67,2,1,17,5,8.3,47.2,7,91,9
PSL,1,153,1,57,2,9.5,7,2,14,4,25.0,38.9,8,177,8
CPL,0,138,2,51,1,8.5,7,3,17,4,27.8,47.2,9,129,7
T20 Blast,1,153,1,44,2,7.33,4,1,18,0,13.9,50.0,8,121,6
CPL,1,156,2,37,4,6.17,3,2,10,3,13.9,27.8,6,97,7
SA20,1,140,1,55,1,9.17,7,1,17,0,22.2,47.2,9,153,3
BPL,2,181,2,37,3,6.17,3,2,19,5,13.9,52.8,7,116,8
ILT20,0,161,1,53,0,8.83,6,2,21,4,22.2,58.3,10,146,2
Super Smash,2,161,2,34,3,5.67,4,2,20,4,16.7,55.6,7,104,5
MLC,1,168,1,49,0,8.17,6,1,21,5,19.4,58.3,10,173,4
ILT20,2,167,2,51,2,8.5,7,0,18,2,19.4,50.0,8,149,8
BBL,1,150,1,61,1,10.17,5,2,21,5,19.4,58.3,9,197,4
T20I,1,142,2,51,1,8.5,6,0,17,2,16.7,47.2,9,166,6
ILT20,2,152,1,59,1,9.83,8,1,22,4,25.0,61.1,9,188,4
SA20,1,180,2,46,2,7.67,4,1,16,0,13.9,44.4,8,147,7
IPL,0,151,1,46,3,7.67,6,1,14,4,19.4,38.9,7,135,8
IPL,1,151,2,48,2,8.0,4,3,21,6,19.4,58.3,8,145,4
PSL,2,140,1,50,2,8.33,5,3,14,4,22.2,38.9,8,147,7
BPL,1,180,2,46,3,7.67,5,0,14,2,13.9,38.9,7,121,9
Super Smash,2,161,1,59,0,9.83,8,3,19,0,30.6,52.8,10,158,3
MLC,1,145,2,31,4,5.17,4,0,10,1,11.1,27.8,6,95,9
T20 World Cup,1,152,1,47,2,7.83,4,2,21,0,16.7,58.3,8,110,8
Super Smash,0,177,2,35,2,5.83,4,1,17,4,13.9,47.2,8,70,4
Super Smash,1,139,1,38,3,6.33,4,0,22,4,11.1,61.1,7,98,8
BPL,0,152,2,33,4,5.5,2,2,11,4,11.1,30.6,6,72,7
BPL,2,176,1,58,2,9.67,8,0,20,6,22.2,55.6,8,157,8
CPL,1,170,2,53,1,8.83,7,1,18,0,22.2,50.0,9,147,5
LPL,1,180,1,35,4,5.83,2,1,19,6,8.3,52.8,6,102,10
CPL,0,143,2,34,0,5.67,4,2,20,4,16.7,55.6,10,79,2
IPL,1,169,1,51,2,8.5,7,2,20,0,25.0,55.6,8,168,5
CPL,0,154,2,37,2,6.17,5,2,21,1,19.4,58.3,8,97,8
IPL,1,158,1,54,3,9.0,4,3,20,1,19.4,55.6,7,162,5
T20 Blast,2,156,2,25,6,4.17,3,1,14,1,11.1,38.9,4,40,10
T20 Blast,2,158,1,42,3,7.0,4,1,22,1,13.9,61.1,7,116,5
MLC,2,155,2,48,2,8.0,4,1,19,6,13.9,52.8,8,140,6
Super Smash,2,154,1,53,3,8.83,7,2,21,5,25.0,58.3,7,139,5
T20I,1,159,2,28,3,4.67,3,0,12,0,8.3,33.3,7,72,7
BPL,0,180,1,40,1,6.67,3,0,18,4,8.3,50.0,9,112,7
SA20,2,163,2,58,1,9.67,8,2,22,4,27.8,61.1,9,193,6
ILT20,2,146,1,34,2,5.67,2,1,19,0,8.3,52.8,8,110,6
T20I,2,156,2,53,1,8.83,7,0,16,3,19.4,44.4,9,182,6
T20I,1,158,1,65,1,10.83,7,1,16,3,22.2,44.4,9,224,4
Super Smash,0,155,2,44,1,7.33,6,1,18,1,19.4,50.0,9,108,7
BPL,1,144,1,53,1,8.83,5,2,18,3,19.4,50.0,9,156,6
SA20,1,142,2,51,2,8.5,7,1,19,5,22.2,52.8,8,152,5
T20 Blast,2,168,1,50,2,8.33,6,0,16,3,16.7,44.4,8,133,8
T20 Blast,1,149,2,24,4,4.0,3,0,10,6,8.3,27.8,6,71,8
IPL,1,150,1,44,3,7.33,4,2,22,5,16.7,61.1,7,135,6
ILT20,0,165,2,63,0,10.5,5,1,19,6,16.7,52.8,10,192,4
IPL,2,148,1,59,1,9.83,4,1,20,6,13.9,55.6,9,196,5
BPL,2,176,2,61,1,10.17,5,3,17,2,22.2,47.2,9,181,7
BBL,0,149,1,25,5,4.17,2,1,20,4,8.3,55.6,5,46,9
CPL,1,169,2,44,2,7.33,6,1,21,4,19.4,58.3,8,113,4
SA20,1,177,1,47,2,7.83,6,2,15,4,22.2,41.7,8,125,8
T20I,1,159,2,60,1,10.0,7,3,20,2,27.8,55.6,9,188,7
IPL,2,172,1,44,3,7.33,3,1,14,5,11.1,38.9,7,127,7
IPL,0,162,2,50,3,8.33,6,1,19,4,19.4,52.8,7,135,9
CPL,1,157,1,26,6,4.33,2,1,19,3,8.3,52.8,4,58,8
MLC,0,146,2,20,5,3.33,1,0,14,4,2.8,38.9,5,35,9
CPL,0,149,1,17,3,2.83,1,0,15,6,2.8,41.7,7,40,9
T20I,2,141,2,37,3,6.17,3,0,13,3,8.3,36.1,7,109,7
BBL,2,139,1,47,2,7.83,5,0,19,6,13.9,52.8,8,146,6
T20 Blast,0,172,2,60,1,10.0,7,3,16,5,27.8,44.4,9,160,7
IPL,1,168,1,77,2,12.83,6,3,18,2,25.0,50.0,8,243,4
T20 Blast,0,163,2,34,3,5.67,4,0,22,1,11.1,61.1,7,62,7
MLC,0,179,1,41,3,6.83,3,0,22,3,8.3,61.1,7,103,9
BPL,1,139,2,52,2,8.67,4,0,19,2,11.1,52.8,8,138,5
BBL,0,149,1,37,3,6.17,5,1,22,2,16.7,61.1,7,94,5
LPL,1,154,2,54,3,9.0,4,0,20,6,11.1,55.6,7,138,6
CPL,2,168,1,25,5,4.17,3,1,22,2,11.1,61.1,5,76,7
Super Smash,1,174,2,36,2,6.0,5,2,15,0,19.4,41.7,8,103,6
LPL,1,178,1,20,6,3.33,2,1,6,5,8.3,16.7,4,37,10
MLC,1,166,2,41,2,6.83,5,1,14,5,16.7,38.9,8,108,5
BBL,0,169,1,58,0,9.67,6,3,19,0,25.0,52.8,10,152,4
T20 Blast,0,145,2,34,3,5.67,2,0,20,1,5.6,55.6,7,67,5
T20 World Cup,1,180,1,58,2,9.67,4,0,18,3,11.1,50.0,8,166,6
T20I,0,179,2,48,2,8.0,5,3,22,4,22.2,61.1,8,108,5
LPL,2,139,1,41,4,6.83,3,1,14,2,11.1,38.9,6,115,7
CPL,2,179,2,54,1,9.0,5,2,22,4,19.4,61.1,9,162,3
T20 Blast,2,167,1,54,4,9.0,6,1,10,2,19.4,27.8,6,142,9
ILT20,1,161,2,58,0,9.67,7,3,22,5,27.8,61.1,10,207,4
LPL,1,155,1,45,2,7.5,4,1,22,2,13.9,61.1,8,125,8
T20I,1,146,2,21,5,3.5,3,1,15,6,11.1,41.7,5,59,10
Super Smash,1,149,1,39,4,6.5,3,0,14,2,8.3,38.9,6,85,6
BBL,1,148,2,22,5,3.67,1,1,22,1,5.6,61.1,5,62,10
T20 Blast,2,138,1,52,2,8.67,6,1,21,1,19.4,58.3,8,151,6
MLC,2,169,2,54,3,9.0,4,0,18,1,11.1,50.0,7,155,5
T20I,1,151,1,48,3,8.0,4,2,14,1,16.7,38.9,7,130,9
BPL,0,148,2,44,2,7.33,6,2,16,6,22.2,44.4,8,98,4
MLC,1,168,1,41,3,6.83,4,1,12,4,13.9,33.3,7,110,9
IPL,1,159,2,67,1,11.17,7,0,16,2,19.4,44.4,9,212,7
BPL,1,156,1,66,1,11.0,9,1,22,2,27.8,61.1,9,182,5
LPL,1,155,2,40,3,6.67,5,2,20,6,19.4,55.6,7,99,5
MLC,2,155,1,44,3,7.33,4,0,19,1,11.1,52.8,7,133,6
T20 World Cup,1,171,2,28,5,4.67,2,0,14,2,5.6,38.9,5,71,8
Super Smash,2,139,1,42,2,7.0,4,1,18,5,13.9,50.0,8,126,8
T20I,2,138,2,48,1,8.0,5,3,20,1,22.2,55.6,9,138,4
IPL,1,166,1,57,1,9.5,6,3,22,1,25.0,61.1,9,206,3
SA20,1,142,2,56,2,9.33,4,1,21,6,13.9,58.3,8,161,4
LPL,1,157,1,42,2,7.0,3,0,22,5,8.3,61.1,8,105,4
BPL,2,170,2,47,3,7.83,4,0,20,1,11.1,55.6,7,114,5
MLC,1,153,1,49,2,8.17,6,3,22,1,25.0,61.1,8,139,7
T20I,2,179,2,33,3,5.5,2,1,15,5,8.3,41.7,7,96,9
MLC,1,178,1,49,1,8.17,6,0,18,2,16.7,50.0,9,138,5
BBL,1,164,2,47,2,7.83,6,2,14,5,22.2,38.9,8,149,8
SA20,1,140,1,51,2,8.5,5,1,20,2,16.7,55.6,8,156,5
SA20,2,149,2,66,1,11.0,8,3,20,4,30.6,55.6,9,211,7
BBL,1,144,1,55,1,9.17,7,0,19,4,19.4,52.8,9,171,5
BBL,1,165,2,37,6,6.17,4,0,18,1,11.1,50.0,4,86,10
BPL,0,163,1,57,1,9.5,6,3,18,2,25.0,50.0,9,144,6
MLC,2,180,2,54,1,9.0,7,3,20,4,27.8,55.6,9,173,3
MLC,1,146,1,37,4,6.17,3,0,17,5,8.3,47.2,6,98,8
T20 Blast,1,149,2,39,3,6.5,3,0,17,2,8.3,47.2,7,95,9
CPL,1,167,1,38,3,6.33,4,0,19,6,11.1,52.8,7,91,9
T20 World Cup,1,178,2,39,4,6.5,5,1,20,1,16.7,55.6,6,114,10
BBL,2,152,1,24,6,4.0,2,1,16,6,8.3,44.4,4,48,9
T20I,1,155,2,50,2,8.33,5,3,20,3,22.2,55.6,8,155,7
T20 World Cup,1,174,1,48,1,8.0,5,2,21,1,19.4,58.3,9,150,5
T20 Blast,0,173,2,45,2,7.5,4,0,14,6,11.1,38.9,8,111,6
PSL,0,173,1,52,1,8.67,6,1,20,1,19.4,55.6,9,126,4
MLC,1,178,2,44,3,7.33,3,0,22,6,8.3,61.1,7,121,7
T20 World Cup,2,171,1,62,0,10.33,6,0,22,2,16.7,61.1,10,210,3
CPL,2,145,2,60,1,10.0,6,1,16,0,19.4,44.4,9,180,3
PSL,1,173,1,48,4,8.0,6,3,12,3,25.0,33.3,6,120,9
ILT20,1,154,2,58,1,9.67,6,3,22,4,25.0,61.1,9,171,6
Super Smash,1,181,1,45,3,7.5,3,2,17,2,13.9,47.2,7,137,5
T20I,0,169,2,58,1,9.67,8,1,21,5,25.0,58.3,9,151,6
CPL,0,160,1,36,3,6.0,4,0,17,4,11.1,47.2,7,93,5
PSL,1,155,2,38,5,6.33,5,0,22,5,13.9,61.1,5,103,7
BPL,1,170,1,36,3,6.0,3,2,19,0,13.9,52.8,7,95,6
PSL,0,153,2,38,3,6.33,5,0,18,3,13.9,50.0,7,95,9
PSL,1,157,1,26,3,4.33,3,0,22,5,8.3,61.1,7,79,9
CPL,0,139,2,48,2,8.0,5,2,17,6,19.4,47.2,8,111,7
SA20,1,171,1,65,0,10.83,7,4,18,5,30.6,50.0,10,220,6
T20I,2,147,2,54,3,9.0,6,3,20,3,25.0,55.6,7,149,5
T20 World Cup,1,180,1,47,3,7.83,3,0,19,2,8.3,52.8,7,136,9
PSL,1,155,2,47,3,7.83,3,1,15,4,11.1,41.7,7,140,7
T20 Blast,1,147,1,38,3,6.33,4,0,12,0,11.1,33.3,7,102,5
BPL,1,176,2,43,4,7.17,5,1,18,5,16.7,50.0,6,107,10
PSL,0,156,1,47,1,7.83,6,2,22,3,22.2,61.1,9,117,5
CPL,1,162,2,29,6,4.83,2,1,15,2,8.3,41.7,4,56,9
BPL,1,156,1,49,1,8.17,6,1,20,3,19.4,55.6,9,129,5
BBL,0,174,2,44,2,7.33,5,1,15,3,16.7,41.7,8,105,8
CPL,1,164,1,39,2,6.5,3,0,19,3,8.3,52.8,8,115,6
PSL,1,167,2,61,2,10.17,5,2,17,0,19.4,47.2,8,187,7
MLC,0,169,1,12,6,2.0,1,1,13,3,5.6,36.1,4,29,10
MLC,1,160,2,38,5,6.33,5,0,10,2,13.9,27.8,5,96,10
T20 World Cup,1,167,1,43,3,7.17,4,1,18,2,13.9,50.0,7,109,6
T20 Blast,1,166,2,27,4,4.5,3,0,11,1,8.3,30.6,6,55,7
ILT20,1,166,1,43,5,7.17,4,1,15,5,13.9,41.7,5,119,9
Super Smash,2,163,2,59,0,9.83,6,1,22,3,19.4,61.1,10,181,5
T20 World Cup,2,172,1,47,2,7.83,4,2,15,1,16.7,41.7,8,142,7
CPL,1,138,2,58,2,9.67,5,3,14,0,22.2,38.9,8,165,6
